country,HDI,GII,MMR,ABR,PRf,SEf,SEm,LFPRf,LFPRm
Viet Nam,0.638,0.322,59,29.0,24.4,59.4,71.2,72.8,81.9
Cape Verde,0.636,NA,79,70.6,20.8,NA,NA,51.1,83.5
Micronesia (Federated States of),0.630,NA,100,18.6,0.1,NA,NA,NA,NA
Guatemala,0.628,0.523,120,97.2,13.3,21.9,23.2,49.1,88.2
Kyrgyzstan,0.628,0.348,71,29.3,23.3,94.5,96.8,55.7,79.0
Namibia,0.624,0.450,200,54.9,25.0,33.0,34.0,75.2,82.2
Timor-Leste,0.620,NA,300,52.2,38.5,NA,NA,24.7,51.1
Honduras,0.617,0.482,100,84.0,19.5,28.0,25.8,42.5,82.9
Morocco,0.617,0.460,100,35.8,11.0,20.1,36.3,43.0,57.4
Vanuatu,0.616,NA,110,44.8,0.1,NA,NA,61.5,80.3
Nicaragua,0.614,0.458,95,100.8,40.2,30.8,44.7,47.0,80.1
Kiribati,0.607,NA,NA,16.6,8.7,NA,NA,NA,NA
Tajikistan,0.607,0.383,65,42.8,17.5,89.9,95.0,58.7,76.9
India,0.586,0.563,200,32.8,10.9,26.6,50.4,28.8,80.9
Bhutan,0.584,0.495,180,40.9,6.9,34.0,34.5,66.4,76.9
Cambodia,0.584,0.505,250,44.3,18.1,9.9,22.2,78.9,86.5
Ghana,0.573,0.549,350,58.4,10.9,45.2,64.7,67.2,71.2
Lao People's Democratic Republic,0.569,0.534,470,65.0,25.0,22.9,36.8,76.3,78.9
Congo,0.564,0.617,560,126.7,9.6,43.8,48.7,68.4,72.9
Zambia,0.561,0.617,440,125.4,11.5,25.7,44.2,73.2,85.7
Bangladesh,0.558,0.529,240,80.6,19.7,30.8,39.3,57.3,84.1
Sao Tome and Principe,0.558,NA,70,65.1,18.2,NA,NA,44.9,77.5
Equatorial Guinea,0.556,NA,240,112.6,18.8,NA,NA,80.6,92.3
Nepal,0.540,0.479,170,73.7,33.2,17.9,39.9,54.3,63.2
Pakistan,0.537,0.563,260,27.3,19.7,19.3,46.1,24.4,82.9
Kenya,0.535,0.548,360,93.6,19.9,25.3,31.4,62.0,72.2
Swaziland,0.530,0.529,320,72.0,21.9,49.9,46.1,43.8,71.3
Angola,0.526,NA,450,170.2,34.1,NA,NA,63.1,76.9
Myanmar,0.524,0.430,200,12.1,4.6,18.0,17.6,85.7,82.9
Rwanda,0.506,0.410,340,33.6,51.9,7.4,8.0,86.5,85.5
Cameroon,0.504,0.622,690,115.8,16.1,21.1,34.9,63.6,76.7
Nigeria,0.504,NA,630,119.6,6.6,NA,NA,48.1,63.5
Yemen,0.500,0.733,200,47.0,0.7,7.6,24.4,25.2,71.8
Madagascar,0.498,NA,240,122.8,15.8,NA,NA,86.8,90.6
Zimbabwe,0.492,0.516,570,60.3,35.1,48.8,62.0,83.2,89.7
Papua New Guinea,0.491,0.617,230,62.1,2.7,6.8,14.1,70.5,74.0
Solomon Islands,0.491,NA,93,64.9,2.0,NA,NA,53.4,79.1
Comoros,0.488,NA,280,51.1,3.0,NA,NA,35.0,80.2
Tanzania (United Republic of),0.488,0.553,460,122.7,36.0,5.6,9.2,88.1,90.2
Mauritania,0.487,0.644,510,73.3,19.2,8.0,20.8,28.6,79.0
Lesotho,0.486,0.557,620,89.4,26.8,21.9,19.8,58.8,73.3
Senegal,0.485,0.537,370,94.4,42.7,7.2,15.4,65.9,88.0
Uganda,0.484,0.529,310,126.6,35.0,22.9,33.5,75.9,79.3
Benin,0.476,0.614,350,90.2,8.4,11.2,25.6,67.5,78.3
Sudan,0.473,0.628,730,84.0,24.1,12.8,18.2,31.2,76.0
Togo,0.473,0.579,300,91.5,15.4,15.3,45.1,80.7,81.2
Haiti,0.471,0.599,350,42.0,3.5,22.5,36.3,60.6,70.8
Afghanistan,0.468,0.705,460,86.8,27.6,5.8,34.0,15.7,79.7
Djibouti,0.467,NA,200,18.6,12.7,NA,NA,36.1,67.3
Côte d'Ivoire,0.452,0.645,400,130.3,10.4,13.7,29.9,52.2,81.5
Gambia,0.441,0.624,360,115.8,7.5,16.9,31.4,72.2,83.0
Ethiopia,0.435,0.547,350,78.4,25.5,7.8,18.2,78.2,89.4
Malawi,0.414,0.591,460,144.8,22.3,10.4,20.4,84.7,81.3
Liberia,0.412,0.655,770,117.4,11.7,15.7,39.2,58.2,64.7
Mali,0.407,0.673,540,175.6,10.2,7.7,15.1,50.6,81.4
Guinea-Bissau,0.396,NA,790,99.3,14.0,NA,NA,68.1,78.5
Mozambique,0.393,0.657,490,137.8,39.2,1.5,6.0,26.3,75.8
Guinea,0.392,NA,610,131.0,NA,NA,NA,65.5,78.3
Burundi,0.389,0.501,800,30.3,34.9,5.2,9.3,83.2,81.8
Burkina Faso,0.388,0.607,300,115.4,15.7,0.9,3.2,77.1,90.1
Eritrea,0.381,NA,240,65.3,22.0,NA,NA,79.9,89.8
Sierra Leone,0.374,0.643,890,100.7,12.4,9.5,20.4,65.7,68.9
Chad,0.372,0.707,"1,100",152.0,14.9,1.7,9.9,64.0,79.2
Central African Republic,0.341,0.654,890,98.3,12.5,10.3,26.2,72.5,85.1
Congo (Democratic Republic of the),0.338,0.669,540,135.3,8.3,10.7,36.2,70.7,73.2
Niger,0.337,0.709,590,204.8,13.3,2.5,7.6,39.9,89.8
